Остатки по КТ по размерам;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Артикул продавца;Название;Артикул WB;Предмет;Бренд;Размер;Регион;Склад;Доступность;Заказали, шт;Заказали на сумму, ₽;Выкупили, шт;Выкупили на сумму, ₽;Процент выкупа;Заказы в среднем за февраль, шт;Заказы в среднем за март, шт;Общее среднее кол-во заказов, шт;Остатки на текущий день, шт;Стоимость остатков на текущий день, ₽;Остатки впервые зафиксированы на складе WB;Оборачиваемость текущих остатков;Оборачиваемость средних остатков;В пути к покупателю, шт;В пути от покупателя, шт;Текущая цена с учетом скидок, ₽;Время отсутствия товара на складе;Упущенные заказы, шт;Сумма упущенных заказов, ₽;Упущенные выкупы, шт;Сумма упущенных выкупов, ₽
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Центральный;Владимир WB;Дефицит;890;567106;578;369792;89;22,61;43,91;34,12;371;227753;> 180 дней назад;13д 16ч;23д 19ч;46;4;614;0ч;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Уральский;Екатеринбург - Перспективная 14;Дефицит;486;307340;323;205763;91;12,94;23;18,38;165;101292;> 180 дней назад;11д 0ч;17д 12ч;37;3;614;0ч;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Приволжский;Сарапул WB;Дефицит;314;192113;213;128941;90;10,11;12;11,13;1208;741579;> 180 дней назад;123д 15ч;138д 5ч;20;0;614;0ч;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Южный + Северо-Кавказский;Невинномысск;Дефицит;197;122917;129;79849;85;4,5;10,55;7,77;0;0;> 180 дней назад;0ч;7д 13ч;0;0;614;1д 21ч;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Северо-Западный;Склад СПБ Шушары Московское;Дефицит;167;104822;128;79128;90;5,5;6,18;5,87;623;382453;> 180 дней назад;120д 21ч;136д 18ч;0;0;614;0ч;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Приволжский;Новосемейкино;Дефицит;112;72705;65;43225;92;0,5;9,36;5,29;0;0;> 180 дней назад;0ч;7д 7ч;1;0;614;17д 8ч;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Приволжский;Казань;Дефицит;110;75220;92;62861;87;1;8,36;4,98;0;0;> 180 дней назад;0ч;7д 14ч;0;0;614;20д 5ч;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Центральный;Коледино;Дефицит;41;28206;30;20732;86;1,22;1,73;1,5;0;0;> 180 дней назад;0ч;6ч;1;0;614;23д 17ч;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Центральный;Тула;Дефицит;31;21121;21;14576;78;0,67;1,73;1,24;0;0;> 180 дней назад;0ч;7ч;1;0;614;24д 7ч;0;0;0;0
6-285-4/1ЖН. Тапочки темно-бежевые;Тапочки домашние;124045488;Тапочки;Мех ОРЕТЕКС;38-39;Южный + Северо-Кавказский;Краснодар;Дефицит;21;14087;13;8606;68;0,83;0,55;0,68;0;0;> 180 дней назад;0ч;23ч;0;0;614;21д 7ч;0;0;0;0
